,name,id
834,FV21 KROKSTAD,SN40
1290,FV21 TANGEN,SN2480
1078,FV211 HAGLEBU,SN26450
1882,FV217 STEINRUSTEN,SN52458
305,FV220 HOLENE BRU,SN1300
995,FV221 VALLDALSFJELL,SN725
508,FV24 RASAN ,SN5370
1158,FV24 STORSJØEN,SN5330
1750,FV250 VINGOMRÅSAN,SN21700
1639,FV2515 FILEFJELL V/VARDEN,SN54731
1773,FV26 SKARVEN,SN670
1423,FV280 ENDERUD BRU,SN24670
186,FV281 STORSAND HURUM,SN19815
1539,FV2830 NAKKERUD,SN24350
512,FV285 BØNESSKOGEN,SN50507
226,FV287 SANDSBRÅTEN,SN26230
54,FV289 HURUM,SN19830
1473,FV29 GRAVBEKKLIA,SN9250
1232,FV30 OSMOEN,SN10070
5,FV30 REITSTØA,SN67650
1566,FV30 RUGLDALEN,SN67890
1042,FV301 BERG KIRKE,SN30242
17,FV307 GRAVDAL,SN27295
1760,FV308 TJØME-BUDAL,SN27415
258,FV310 KOTTERUD,SN27130
551,FV312 HANEKLEIVA,SN27055
1781,FV313 BOGEN,SN27065
695,FV316 SAGLANDSBAKKEN,SN43530
806,FV316 TENGESDAL,SN44780
1170,FV319 SAGBUKTA,SN26970
999,FV32 KIKUT,SN30305
1064,FV33 FEIRING,SN11440
1605,FV33 TONSÅSEN,SN22890
1107,FV33 VARDALSÅSEN,SN11790
495,FV35 HEMSDALEN HOF,SN26750
1482,FV353 BRUMYRDAL,SN30280
358,FV355 VEUM,SN37600
66,FV37 JØNJILJO,SN31700
1719,FV37 RAULANDSFJELLET,SN31560
1188,FV38 BOSTRAK,SN34680
1665,FV40 DAGALIFJELL,SN29700
1176,FV40 RIENLIA,SN27870
977,FV40 VEGGLI,SN28923
278,FV42 HADDELANDSHEIA,SN42490
1391,FV42 TVERRA,SN43520
865,FV42 UNDELAND,SN39570
503,FV44 KVASSHEIM,SN43895
20,FV44 SÆLEBØ,SN43220
1674,FV45 DIRDAL,SN44970
1500,FV45 HUNNEDALEN,SN44985
1721,FV45 SKAFSÅ,SN37580
